size,tool,purity,completeness,kendalltau,pearsonr_common,pearsonr_all,wt_purity,wt_completeness,kl_div_common_gt_to_pred,kl_div_common_pred_to_gt,bray_curtis
0.0,diamond_fast,0.011037356431775145,0.00273920940744466,1.3675322253524408e-16,0.08959769941056993,0.09001709638844109,0.005506714317313885,5.8816501987888985e-06,0.30416324795491034,0.2510032028793259,0.05952211144191337
0.0,"sourmash,k=11",0.001297157677548081,0.03207751420149715,4.1232648001943564e-17,0.0812022348577664,0.07670784714725906,0.0004386734879858434,0.023137730224866513,0.10377686508336566,0.11461532796845648,0.05613697256057745
0.0,"sourmash,k=15",0.0009616853649883854,0.0342921619814503,4.1232648001943564e-17,0.08091329954264045,0.0757450219129403,0.000481820640706694,0.02367377800839481,0.10379450120245161,0.1148947700298381,0.05678772123934785
0.01,diamond_fast,0.010698842120099883,0.002993963334694266,1.1292025708167404e-16,0.09312675847232849,0.09371975952207925,0.005236532074618593,6.737630886322524e-06,0.292574967466334,0.25138127808180905,0.05998170486890723
0.01,"sourmash,k=11",0.0019490006451681884,0.031273018229835435,1.1102230246251565e-16,0.07541974346666137,0.07119301578206307,0.0006351834090915666,0.018801435625760015,0.09635608941684874,0.10740730030678018,0.054379204850192174
0.01,"sourmash,k=15",0.0008789827985048637,0.035100326893471485,8.246529600388713e-17,0.0750819687785524,0.07029471862122062,0.0005375096903543732,0.02179634089803091,0.09565096110030698,0.10485566919164836,0.05397601975502219
0.02,diamond_fast,0.010976863993231813,0.002540629623919023,1.0909133250980695e-16,0.09126085682418264,0.09234809944010784,0.005232662796001831,5.986887064708765e-06,0.30134315588883576,0.2586154256668456,0.06047617246192789
0.02,"sourmash,k=11",0.0018825979377034249,0.03435157118110609,7.141704126996961e-17,0.07228251369694175,0.06817770393286836,0.0005705468987030279,0.018341065346378735,0.09092510945905072,0.09940017059810137,0.05132358813824583
0.02,"sourmash,k=15",0.0009017719972716905,0.0374127155894879,9.219900382466669e-17,0.07532840164117766,0.06990739581072908,0.000501968730971801,0.022721524837561062,0.09330409560561799,0.10270466383596766,0.05257579951433141
0.03,diamond_fast,0.010939841699908045,0.0028171549956662457,1.236979440058307e-16,0.08575136742618893,0.08700440089127771,0.005537898241098213,6.829424598951885e-06,0.29964047126059595,0.2491104591647749,0.0587092832741392
0.03,"sourmash,k=11",0.002897086570656766,0.035188786077172504,7.141704126996961e-17,0.07198648117627938,0.06703039391557675,0.0008933068946976046,0.01764139725567343,0.08927345102635904,0.09606188360465448,0.05094457237843575
0.03,"sourmash,k=15",0.0010171499605761687,0.03788625172319157,1.1292025708167404e-16,0.07021983493016856,0.06553006991848095,0.0005555162098880252,0.022420575518796854,0.08848967261307657,0.09796570091087237,0.05027632867547249
0.04,diamond_fast,0.011100368423569401,0.003155301340021605,1.1292025708167404e-16,0.08544974094570817,0.08591669883363866,0.004652512706503843,6.967200457856655e-06,0.29260630349166,0.24792360592477375,0.05736030624854969
0.04,"sourmash,k=11",0.0023308630807895884,0.03616052999973385,7.141704126996961e-17,0.06904652535142398,0.0645383894661991,0.0007934754854411111,0.01838256470171028,0.08670292456398682,0.0950768084963538,0.05013574690485766
0.04,"sourmash,k=15",0.001143360692997362,0.039125460648727364,1.1292025708167404e-16,0.07458292122149782,0.06769065233097273,0.000709892034136343,0.024462696339718135,0.08753538744261125,0.0961885837761191,0.05076296913399019
0.05,diamond_fast,0.010982027515046152,0.003187896801251011,1.1292025708167404e-16,0.09293679300612911,0.09299165350987273,0.004632624925800723,6.873348795807004e-06,0.2909260639257313,0.25260748228651353,0.059107123387679
0.05,"sourmash,k=11",0.003435186272918734,0.037853281198428165,1.1102230246251565e-16,0.07060314457301556,0.06502726408249591,0.0011595143885973188,0.018740492225210563,0.08612917155970616,0.09326491118081116,0.04969502857476598
0.05,"sourmash,k=15",0.0010865302552543355,0.038480564117605996,5.831177001690448e-17,0.07536835008369773,0.06798630885152881,0.0005728765635932788,0.026098460107425975,0.08691986154979056,0.09555706771695868,0.04944252331605401
