size,tool,purity,completeness,weighted_jaccard,kendalltau,pearsonr_common,pearsonr_all,wt_purity,wt_completeness,kl_div_common_gt_to_pred,kl_div_common_pred_to_gt,bray_curtis,completeness_top_95
0.0,diamond_fast,0.011037356431775145,0.00273920940744466,0.0795640422357739,0.009901018633270085,0.02629250440335436,0.06305363168658551,0.004856692085115733,5.9420864677021644e-05,0.038053209598998744,0.03289255749402576,0.052581793864548004,0.0
0.0,"sourmash,k=11",0.00343844193682145,0.03178188755216473,0.019424667827376018,0.01272214484490183,0.0012649450103067938,0.015691805598788414,0.004783037026568397,0.01457513844132025,0.0026982856200929487,0.004003325376833695,0.004757836504320115,0.0310516764057037
0.0,"sourmash,k=15",0.0019201018013999924,0.03428018289580456,0.021254422765587633,0.012460230497428735,0.0015450188618923433,0.015277312701751198,0.0021095887083939307,0.016261589947996962,0.002844234388105563,0.004366376383390418,0.0046503129621766354,0.03533602066824705
0.01,diamond_fast,0.010698842120099883,0.002993963334694266,0.07951919001277703,0.007736208445372036,0.02624064116335216,0.062376753408873144,0.005425920475843681,6.50302772302787e-05,0.038118465322395684,0.03291622614724145,0.052441348761669476,0.0
0.01,"sourmash,k=11",0.003694397569643308,0.03104374778746293,0.02010661464185963,0.00963380410225177,0.0012300191439013463,0.015215651348380899,0.004005752522963117,0.014593872490115222,0.002591173898975754,0.003956181334586498,0.004833275753066498,0.030971463731090394
0.01,"sourmash,k=15",0.0018152771976297382,0.03508710389893642,0.02116792414447296,0.010340719176727107,0.002666186357626941,0.015035427846691325,0.0019375575377005576,0.017885640118666002,0.002911547693039146,0.004370495105483407,0.005154897486814183,0.03825581025825442
0.02,diamond_fast,0.010976863993231813,0.002540629623919023,0.07957707463919056,0.007514241673069675,0.026222073566098545,0.062447804141569495,0.005223819316942644,5.9386561045330654e-05,0.038457216883956875,0.03312017918736055,0.052545651009183084,0.0
0.02,"sourmash,k=11",0.004186641932899024,0.03406241721493934,0.02158608428155781,0.009276401645359408,0.0016034560197657431,0.015271850565724205,0.004158769903867113,0.017069904108587414,0.002794648357473743,0.004116779758715365,0.005176611095959923,0.03526774171910179
0.02,"sourmash,k=15",0.0020936774261294225,0.03734038723283847,0.024214915166138055,0.014091725872391648,0.002707521573822325,0.016817545718040606,0.002740200745808234,0.020763215212282058,0.0031931254844664507,0.004809353101893084,0.005165117230144583,0.04172276243244871
0.03,diamond_fast,0.010939841699908045,0.0028171549956662457,0.07971450746471036,0.008942331133319763,0.026040915827585387,0.06227767248425081,0.0060984620926830295,6.669416499421799e-05,0.03865407166993249,0.033152330388559484,0.052458430309655794,0.0
0.03,"sourmash,k=11",0.0045224253818677345,0.03480671076621507,0.022515288409302163,0.009116286970542687,0.002463246927923663,0.0164251626010443,0.005082122919877973,0.0171810158084303,0.0027609887915873385,0.0038866273697154975,0.005743133734942129,0.035952529301739033
0.03,"sourmash,k=15",0.0021564018602310995,0.037650803602806655,0.024864317593005787,0.0129117935787647,0.00412638411675774,0.017425836943508313,0.0022348488095275468,0.023038420032732237,0.003524429666770369,0.005279477856011842,0.005591720745607068,0.04326248402443689
0.04,diamond_fast,0.011100368423569401,0.003155301340021605,0.07995929391645414,0.00818482652883106,0.02587911127203892,0.062459691717199436,0.0046913633187879765,7.267447695552522e-05,0.038761830768233654,0.03323758214959487,0.05245983421627996,0.0
0.04,"sourmash,k=11",0.004129135447847459,0.03606225576600903,0.023532851486429113,0.013425902679703061,0.0024459884441874464,0.017096855947460673,0.004403743104547795,0.01942691653455136,0.002841463343284218,0.0043595642679565534,0.004646524987884463,0.03789563649366717
0.04,"sourmash,k=15",0.0021560993534265292,0.03926945277854302,0.026464684337382898,0.01251681728237322,0.005317868452309695,0.02086013636378813,0.0027587730704540033,0.026621835298473017,0.004038270912876404,0.005977053096494742,0.006427290802849818,0.047236273842095354
0.05,diamond_fast,0.010982027515046152,0.003187896801251011,0.08002579339806037,0.008303544084610107,0.02632956958501434,0.06268296743474464,0.004721783656397819,7.436065389297579e-05,0.03916795125986717,0.03358110246755137,0.05270863236842944,0.0
0.05,"sourmash,k=11",0.00523278283563998,0.037685890960019675,0.02598182635664642,0.011984606798371095,0.0028216776091092013,0.018908974985337546,0.005340308289224552,0.022034846617850292,0.003402335905872563,0.005079786481643016,0.0059755011311032995,0.04261505359358221
0.05,"sourmash,k=15",0.0017995450453122627,0.03854114027501309,0.02864366822878449,0.01307282109981609,0.006942832015272249,0.02454480925891438,0.002519050485365857,0.029606208908603247,0.00482670061738053,0.007255361228331133,0.007172429671047723,0.04809482457360919
