num_novel_genomes,tool,walltime,cputime,max_rss,avg_rss
0,diamond_fast,474.02488700151446,31385.123499999998,16631827.4,0.0
0,"sourmash,k=11",344.31597838401797,357.6835,449056.6,0.0
0,"sourmash,k=15",345.56225830316544,358.735,466894.6,0.0
2,diamond_fast,450.90354481935503,31228.468,16642021.8,0.0
2,"sourmash,k=11",337.12988299131393,351.4485,449508.8,0.0
2,"sourmash,k=15",337.22343878746034,351.50300000000004,466916.8,0.0
4,diamond_fast,461.4876289367676,31034.154,16631639.4,0.0
4,"sourmash,k=11",325.3627895951271,339.815,450199.2,0.0
4,"sourmash,k=15",325.20891282558443,339.22950000000003,468353.0,0.0
8,diamond_fast,463.8153712153435,32705.795000000002,16643265.6,0.0
8,"sourmash,k=11",324.56604251861575,339.4445,450165.4,0.0
8,"sourmash,k=15",325.1715175151825,340.1075,466422.4,0.0
16,diamond_fast,448.4066585540771,30967.8895,16638082.4,0.0
16,"sourmash,k=11",323.3151099205017,338.8295,449677.4,0.0
16,"sourmash,k=15",323.9008597493172,338.399,467459.4,0.0
32,diamond_fast,455.2123714327812,31988.402000000002,16645388.4,0.0
32,"sourmash,k=11",319.7584319472313,336.026,450134.4,0.0
32,"sourmash,k=15",318.53215713500975,334.95099999999996,466523.8,0.0
